Wall time,Step,Value
1719576300.505526,0,2.464686870574951
1719576318.653491,1,1.2215126752853394
1719576325.01359,2,0.7558469176292419
1719576331.371443,3,0.56144779920578
1719576337.729482,4,0.46055248379707336
1719576344.107537,5,0.3918789327144623
1719576350.728037,6,0.3408997058868408
1719576357.203881,7,0.3108585774898529
1719576363.734523,8,0.275834321975708
1719576370.112234,9,0.2488081008195877
1719576376.502057,10,0.23932409286499023
1719576382.872053,11,0.21552829444408417
1719576389.243391,12,0.19231301546096802
1719576395.624187,13,0.1823386400938034
1719576402.000965,14,0.1798161119222641
1719576408.398535,15,0.16472965478897095
1719576414.766017,16,0.1345105618238449
1719576421.137116,17,0.12575821578502655
1719576427.522162,18,0.1202230453491211
1719576433.904179,19,0.09980235248804092
1719576440.281457,20,0.09506034106016159
1719576446.672887,21,0.09193684905767441
1719576453.039123,22,0.07961072027683258
1719576459.419667,23,0.07825683057308197
1719576465.811779,24,0.07274767011404037
1719576472.211489,25,0.06570421904325485
1719576478.607821,26,0.060864463448524475
1719576485.016072,27,0.06127990037202835
